problem_id,defense,n,ac,pass_rate,order
P001,P0,1,1,100.0,0
P001,P1,1,1,100.0,1
P001,P2,2,2,100.0,2
P001,P3,2,2,100.0,3
P002,P0,1,1,100.0,0
P002,P1,1,1,100.0,1
P002,P2,2,2,100.0,2
P002,P3,2,2,100.0,3
P003,P0,1,1,100.0,0
P003,P1,1,1,100.0,1
P003,P2,2,2,100.0,2
P003,P3,2,2,100.0,3
P004,P0,1,1,100.0,0
P004,P1,1,1,100.0,1
P004,P2,2,2,100.0,2
P004,P3,2,2,100.0,3
P005,P0,1,1,100.0,0
P005,P1,1,1,100.0,1
P005,P2,2,2,100.0,2
P005,P3,2,2,100.0,3
P006,P0,1,1,100.0,0
P006,P1,1,1,100.0,1
P006,P2,2,2,100.0,2
P006,P3,2,2,100.0,3
P007,P0,1,1,100.0,0
P007,P1,1,1,100.0,1
P007,P2,2,2,100.0,2
P007,P3,2,2,100.0,3
P008,P0,1,1,100.0,0
P008,P1,1,1,100.0,1
P008,P2,2,2,100.0,2
P008,P3,2,2,100.0,3
